,Koja je vaša vjeroispovijest?,Smatrate li da živite pobožno?,Da li pohađate bogoslužbena mjesta,Koliko često u javnosti koristite spoljašnje znakove pobožnosti?,Koliko često u javnosti koristite neke religiozne predmete prilikom molitve?,Koliko često se molite prije obroka pred ljudima koji ne pripadaju vašoj vjeroispovijesti?,Koliko često kažete nekome da ćete se moliti za nekoga?,Koliko često ponudite nekoga da se moli zajedno sa vama?,"How often do you: Bring up your religion, unprompted, in conversation",Koliko često nepozvani pominjete religiju u vašim razgovorima,"How often do you: Decline some kind of food or beverage for religious reasons (kosher, halal, fasting rules, etc)","How often do you: Wear religious clothing/jewelry (hijab, kippah, wig, kara, turban, cross, etc)","How often do you: Participate in a public religious event on the streets (Corpus Christi procession, inauguration of Torah scrolls, etc)","How comfortable do you feel when you: Pray in public with visible motions (sign of the cross, bowing, prostration, shokeling, etc)","How comfortable do you feel when you: Pray in public using some kind of physical object (rosary, tefillin, etc)",How comfortable do you feel when you: Pray aloud before meals in the presence of people who don't belong to your religion,How comfortable do you feel when you: Tell someone you'll pray for him or her,How comfortable do you feel when you: Ask or offer to pray with someone,"How comfortable do you feel when you: Bring up your religion, unprompted, in conversation","How comfortable do you feel when you: Ask others about their religion, unprompted, in conversation","How comfortable do you feel when you: Decline some kind of food or beverage for religious reasons (kosher, halal, fasting rules, etc)","How comfortable do you feel when you: Wear religious clothing/jewelry (hijab, kippah, wig, kara, turban, cross, etc)","How comfortable do you feel when you: Participate in a public religious event on the streets (Corpus Christi procession, inauguration of Torah scrolls, etc)","How comfortable do you think someone outside your religion would be if they saw you: Pray in public with visible motions (sign of the cross, bowing, prostration, shokeling, etc)","How comfortable do you think someone outside your religion would be if they saw you: Pray in public using some kind of physical object (rosary, tefillin, etc)",How comfortable do you think someone outside your religion would be if they saw you: Pray aloud before meals in the presence of people who don't belong to your religion,How comfortable do you think someone outside your religion would be if they saw you: Tell someone you'll pray for him or her,How comfortable do you think someone outside your religion would be if they saw you: Ask or offer to pray with someone,"How comfortable do you think someone outside your religion would be if they saw you: Bring up your religion, unprompted, in conversation","How comfortable do you think someone outside your religion would be if they saw you: Ask others about their religion, unprompted, in conversation","How comfortable do you think someone outside your religion would be if they saw you: Decline some kind of food or beverage for religious reasons (kosher, halal, fasting rules, etc)","How comfortable do you think someone outside your religion would be if they saw you: Wear religious clothing/jewelry (hijab, kippah, wig, kara, turban, cross, etc)","How comfortable do you think someone outside your religion would be if they saw you: Participate in a public religious event on the streets (Corpus Christi procession, inauguration of Torah scrolls, etc)","How comfortable would you be seeing someone who practices a different religion from you: Pray in public with visible motions (sign of the cross, bowing, prostration, shokeling, etc)","How comfortable would you be seeing someone who practices a different religion from you: Pray in public using some kind of physical object (rosary, tefillin, etc)",How comfortable would you be seeing someone who practices a different religion from you: Pray aloud before meals in the presence of people who don't belong to that religion,"How comfortable would you be seeing someone who practices a different religion from you: Tell someone ""I'll pray for you""",How comfortable would you be seeing someone who practices a different religion from you: Ask or offer to pray with you,"How comfortable would you be seeing someone who practices a different religion from you: Bring up his or her own religion, unprompted, in conversation","How comfortable would you be seeing someone who practices a different religion from you: Ask you about your religion, unprompted, in conversation","How comfortable would you be seeing someone who practices a different religion from you: Decline some kind of food or beverage for religious reasons (kosher, halal, fasting rules, etc)","How comfortable would you be seeing someone who practices a different religion from you: Wear religious clothing/jewelry (hijab, kippah, wig, kara, turban, cross, etc)","How comfortable would you be seeing someone who practices a different religion from you: Participate in a public religious event on the streets (Corpus Christi procession, inauguration of Torah scrolls, etc)",What is your age?,What is your gender?,How much total combined money did all members of your HOUSEHOLD earn last year?,US Region
345,None of these,No,Never,Never,Not applicable to my religious beliefs,Never,Never,Never,Never,Never,Never,Never,Never,I don't do this,I don't do this,I don't do this,I don't do this,I don't do this,I don't do this,I don't do this,I don't do this,I don't do this,I don't do this,I don't do this,I don't do this,I don't do this,I don't do this,I don't do this,I don't do this,I don't do this,I don't do this,I don't do this,I don't do this,Extremely comfortable,Extremely comfortable,Extremely comfortable,Extremely comfortable,Not so comfortable,Somewhat comfortably,Not so comfortable,Extremely comfortable,Extremely comfortable,Extremely comfortable,60+,Male,"$75,000 to $99,999",South Atlantic
348,Agnostic,No,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,I don't do this,I don't do this,I don't do this,I don't do this,I don't do this,I don't do this,I don't do this,I don't do this,I don't do this,I don't do this,I don't do this,I don't do this,I don't do this,I don't do this,I don't do this,I don't do this,I don't do this,I don't do this,I don't do this,I don't do this,Somewhat comfortably,Somewhat comfortably,Not at all comfortable,Extremely comfortable,Somewhat comfortably,Very comfortable,Very comfortable,Extremely comfortable,Extremely comfortable,Extremely comfortable,60+,Female,Prefer not to answer,East North Central
349,Agnostic,No,Never,Never,Never,Never,Once a month or less,Once a year or less,Never,Never,Never,Never,Never,I don't do this,I don't do this,I don't do this,Somewhat comfortably,I don't do this,I don't do this,I don't do this,I don't do this,I don't do this,I don't do this,Not so comfortable,Not so comfortable,Not so comfortable,Not so comfortable,Not so comfortable,Not so comfortable,Not at all comfortable,Somewhat comfortably,Not so comfortable,Not so comfortable,Not so comfortable,Somewhat comfortably,Somewhat comfortably,Somewhat comfortably,Not at all comfortable,Not at all comfortable,Not at all comfortable,Somewhat comfortably,Somewhat comfortably,Not so comfortable,60+,Male,"$100,000 to $124,999",Middle Atlantic
350,Protestant,No,Less than weekly,A few times per month,Never,Once a month or less,A few times per week,A few times per week,A few times per week,Once a year or less,Never,Once a month or less,Never,Somewhat comfortably,I don't do this,Very comfortable,Extremely comfortable,Extremely comfortable,Very comfortable,Very comfortable,I don't do this,Very comfortable,I don't do this,Somewhat comfortably,Somewhat comfortably,Somewhat comfortably,Somewhat comfortably,Not so comfortable,Somewhat comfortably,Somewhat comfortably,Somewhat comfortably,Extremely comfortable,I don't do this,Extremely comfortable,Extremely comfortable,Extremely comfortable,Extremely comfortable,Extremely comfortable,Extremely comfortable,Extremely comfortable,Extremely comfortable,Extremely comfortable,Extremely comfortable,60+,Female,"$25,000 to $49,999",East North Central
351,Agnostic,No,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,I don't do this,I don't do this,I don't do this,I don't do this,I don't do this,I don't do this,I don't do this,I don't do this,I don't do this,I don't do this,I don't do this,I don't do this,I don't do this,I don't do this,I don't do this,I don't do this,I don't do this,I don't do this,I don't do this,I don't do this,Not so comfortable,Not so comfortable,Not so comfortable,Not so comfortable,Not so comfortable,Not so comfortable,Not so comfortable,Not so comfortable,Not so comfortable,Not so comfortable,18 - 29,Male,"$25,000 to $49,999",West South Central
352,Protestant,Yes,Weekly or more,A few times per month,Once a year or less,Once a month or less,A few times per month,A few times per week,Once a month or less,Once a year or less,Once a year or less,A few times per week,Once a year or less,Somewhat comfortably,Not so comfortable,Somewhat comfortably,Somewhat comfortably,Extremely comfortable,Very comfortable,Not at all comfortable,Very comfortable,Very comfortable,Extremely comfortable,Somewhat comfortably,Somewhat comfortably,Very comfortable,Somewhat comfortably,Not so comfortable,Not so comfortable,Somewhat comfortably,Very comfortable,Very comfortable,Very comfortable,Extremely comfortable,Extremely comfortable,Extremely comfortable,Extremely comfortable,Extremely comfortable,Extremely comfortable,Extremely comfortable,Extremely comfortable,Extremely comfortable,Extremely comfortable,30 - 44,Male,"$150,000 to $174,999",Middle Atlantic
353,None of these,No,Weekly or more,Not applicable to my religious beliefs,Not applicable to my religious beliefs,Once a month or less,Every day,A few times per month,A few times per week,Not applicable to my religious beliefs,Not applicable to my religious beliefs,Not applicable to my religious beliefs,Not applicable to my religious beliefs,I don't do this,I don't do this,Extremely comfortable,Extremely comfortable,Extremely comfortable,Extremely comfortable,I don't do this,I don't do this,I don't do this,I don't do this,Not so comfortable,Not so comfortable,I don't do this,Very comfortable,Very comfortable,Very comfortable,Very comfortable,Somewhat comfortably,Somewhat comfortably,Very comfortable,Very comfortable,Very comfortable,Very comfortable,Very comfortable,Very comfortable,Extremely comfortable,Extremely comfortable,Extremely comfortable,Very comfortable,Very comfortable,60+,Female,"$100,000 to $124,999",Pacific
354,Buddhist,No,Never,Not applicable to my religious beliefs,Not applicable to my religious beliefs,A few times per month,Not applicable to my religious beliefs,Once a year or less,Never,Never,Not applicable to my religious beliefs,Not applicable to my religious beliefs,Not applicable to my religious beliefs,I don't do this,I don't do this,I don't do this,I don't do this,I don't do this,I don't do this,I don't do this,I don't do this,I don't do this,I don't do this,Not at all comfortable,Not at all comfortable,Not at all comfortable,Not at all comfortable,Not at all comfortable,Not at all comfortable,Not at all comfortable,Not at all comfortable,Not at all comfortable,Not at all comfortable,Not at all comfortable,Not at all comfortable,Not at all comfortable,Not at all comfortable,Not at all comfortable,Not at all comfortable,Not at all comfortable,Not at all comfortable,Not at all comfortable,Not at all comfortable,30 - 44,Male,"$100,000 to $124,999",Mountain
355,Agnostic,No,Never,Not applicable to my religious beliefs,Not applicable to my religious beliefs,Not applicable to my religious beliefs,Never,Not applicable to my religious beliefs,Once a year or less,Once a year or less,Never,Never,Never,I don't do this,I don't do this,I don't do this,I don't do this,I don't do this,Somewhat comfortably,Somewhat comfortably,I don't do this,I don't do this,I don't do this,I don't do this,I don't do this,I don't do this,I don't do this,I don't do this,Not so comfortable,Not so comfortable,I don't do this,I don't do this,I don't do this,Very comfortable,Very comfortable,Somewhat comfortably,Somewhat comfortably,Not so comfortable,Somewhat comfortably,Somewhat comfortably,Extremely comfortable,Very comfortable,Very comfortable,18 - 29,Female,"$25,000 to $49,999",New England
357,Roman Catholic,No,Less than weekly,Not applicable to my religious beliefs,Once a year or less,Never,A few times per month,A few times per month,Never,Never,Once a year or less,Not applicable to my religious beliefs,Not applicable to my religious beliefs,Very comfortable,Very comfortable,Very comfortable,Very comfortable,Very comfortable,Very comfortable,Very comfortable,Very comfortable,Very comfortable,Very comfortable,Extremely comfortable,Very comfortable,Somewhat comfortably,Very comfortable,Somewhat comfortably,Somewhat comfortably,Somewhat comfortably,Very comfortable,Somewhat comfortably,Very comfortable,Somewhat comfortably,Very comfortable,Somewhat comfortably,Somewhat comfortably,Somewhat comfortably,Very comfortable,Very comfortable,Somewhat comfortably,Very comfortable,Somewhat comfortably,18 - 29,Female,"$10,000 to $24,999",East North Central
358,Protestant,Yes,Weekly or more,A few times per month,Not applicable to my religious beliefs,A few times per month,Once a month or less,Never,Once a month or less,Never,Never,Not applicable to my religious beliefs,Never,Somewhat comfortably,I don't do this,Somewhat comfortably,Somewhat comfortably,I don't do this,Somewhat comfortably,Not so comfortable,I don't do this,I don't do this,I don't do this,Very comfortable,I don't do this,Very comfortable,Somewhat comfortably,Somewhat comfortably,Somewhat comfortably,Not so comfortable,I don't do this,I don't do this,I don't do this,Very comfortable,Very comfortable,Very comfortable,Very comfortable,Somewhat comfortably,Very comfortable,Very comfortable,Extremely comfortable,Very comfortable,Very comfortable,30 - 44,Female,"$50,000 to $74,999",West North Central
360,Buddhist,No,Never,Never,Never,Never,Once a month or less,Once a month or less,Never,Never,Never,Never,Never,Somewhat comfortably,I don't do this,I don't do this,Very comfortable,Very comfortable,Very comfortable,Very comfortable,I don't do this,I don't do this,I don't do this,I don't do this,I don't do this,I don't do this,Very comfortable,Very comfortable,Very comfortable,Very comfortable,I don't do this,I don't do this,I don't do this,Very comfortable,Very comfortable,Very comfortable,Extremely comfortable,Extremely comfortable,Extremely comfortable,Extremely comfortable,Very comfortable,Extremely comfortable,Extremely comfortable,60+,Female,"$75,000 to $99,999",Pacific
361,None of these,No,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,I don't do this,I don't do this,I don't do this,I don't do this,I don't do this,I don't do this,I don't do this,I don't do this,I don't do this,I don't do this,I don't do this,I don't do this,I don't do this,I don't do this,I don't do this,I don't do this,I don't do this,I don't do this,I don't do this,I don't do this,Very comfortable,Very comfortable,Somewhat comfortably,Somewhat comfortably,Very comfortable,Not so comfortable,Somewhat comfortably,Very comfortable,Very comfortable,Very comfortable,18 - 29,Male,"$25,000 to $49,999",West South Central
363,Orthodox Christian,No,Less than weekly,Every day,Not applicable to my religious beliefs,Every day,Every day,A few times per month,A few times per week,A few times per month,Once a month or less,A few times per month,Once a year or less,Extremely comfortable,I don't do this,Extremely comfortable,Extremely comfortable,Extremely comfortable,Extremely comfortable,Extremely comfortable,Extremely comfortable,Extremely comfortable,Extremely comfortable,Somewhat comfortably,Somewhat comfortably,Somewhat comfortably,Somewhat comfortably,Somewhat comfortably,Somewhat comfortably,Somewhat comfortably,Somewhat comfortably,Somewhat comfortably,Somewhat comfortably,Not so comfortable,Not so comfortable,Not so comfortable,Not so comfortable,Not so comfortable,Not so comfortable,Not so comfortable,Not so comfortable,Not so comfortable,Not so comfortable,18 - 29,Female,Prefer not to answer,South Atlantic
364,Jewish,No,Weekly or more,Once a year or less,Once a year or less,Once a year or less,Once a year or less,Never,Once a month or less,Never,A few times per month,A few times per week,Once a year or less,I don't do this,Very comfortable,Very comfortable,Very comfortable,I don't do this,Very comfortable,Very comfortable,Very comfortable,Very comfortable,Very comfortable,Very comfortable,Very comfortable,Very comfortable,Very comfortable,I don't do this,Very comfortable,Very comfortable,Very comfortable,Very comfortable,Very comfortable,Very comfortable,Very comfortable,Very comfortable,Very comfortable,Very comfortable,Very comfortable,Very comfortable,Extremely comfortable,Very comfortable,Very comfortable,60+,Male,Prefer not to answer,East North Central
365,Roman Catholic,No,Weekly or more,A few times per week,Never,Once a month or less,A few times per month,Never,A few times per month,Never,Once a month or less,Every day,Never,Somewhat comfortably,I don't do this,Very comfortable,Extremely comfortable,I don't do this,Very comfortable,I don't do this,Extremely comfortable,Extremely comfortable,I don't do this,Very comfortable,Very comfortable,Very comfortable,Very comfortable,Somewhat comfortably,Somewhat comfortably,Somewhat comfortably,Extremely comfortable,Very comfortable,Somewhat comfortably,Very comfortable,Extremely comfortable,Extremely comfortable,Extremely comfortable,Extremely comfortable,Very comfortable,Extremely comfortable,Extremely comfortable,Extremely comfortable,Very comfortable,60+,Male,Prefer not to answer,East North Central
367,Orthodox Christian,Yes,Less than weekly,A few times per week,Once a year or less,Every day,A few times per month,A few times per week,A few times per week,A few times per week,A few times per week,A few times per week,A few times per week,Somewhat comfortably,Somewhat comfortably,Somewhat comfortably,Somewhat comfortably,Somewhat comfortably,Somewhat comfortably,Somewhat comfortably,Somewhat comfortably,Somewhat comfortably,Somewhat comfortably,Somewhat comfortably,Somewhat comfortably,Somewhat comfortably,Somewhat comfortably,Somewhat comfortably,Somewhat comfortably,Somewhat comfortably,Somewhat comfortably,Somewhat comfortably,Somewhat comfortably,Somewhat comfortably,Somewhat comfortably,Somewhat comfortably,Somewhat comfortably,Somewhat comfortably,Somewhat comfortably,Somewhat comfortably,Somewhat comfortably,Somewhat comfortably,Somewhat comfortably,30 - 44,Male,"$0 to $9,999",Pacific
369,Protestant,Yes,Weekly or more,Once a month or less,Not applicable to my religious beliefs,Once a year or less,A few times per week,Once a month or less,A few times per month,Once a year or less,Not applicable to my religious beliefs,Not applicable to my religious beliefs,Not applicable to my religious beliefs,Somewhat comfortably,Not so comfortable,Somewhat comfortably,Very comfortable,Not so comfortable,Somewhat comfortably,Not so comfortable,I don't do this,I don't do this,I don't do this,Extremely comfortable,Extremely comfortable,Somewhat comfortably,Somewhat comfortably,Somewhat comfortably,Somewhat comfortably,Somewhat comfortably,I don't do this,I don't do this,I don't do this,Somewhat comfortably,Very comfortable,Somewhat comfortably,Very comfortable,Somewhat comfortably,Very comfortable,Very comfortable,Very comfortable,Extremely comfortable,Very comfortable,18 - 29,Female,"$50,000 to $74,999",West South Central
370,None of these,Yes,Less than weekly,Once a month or less,A few times per week,A few times per week,A few times per week,Once a month or less,Not applicable to my religious beliefs,Every day,Every day,A few times per month,Not applicable to my religious beliefs,Not so comfortable,Somewhat comfortably,Extremely comfortable,I don't do this,Not so comfortable,Very comfortable,Not at all comfortable,Extremely comfortable,Extremely comfortable,I don't do this,Extremely comfortable,Extremely comfortable,Somewhat comfortably,Not so comfortable,Not at all comfortable,I don't do this,Not at all comfortable,I don't do this,Very comfortable,Extremely comfortable,Extremely comfortable,Not at all comfortable,Somewhat comfortably,Very comfortable,Somewhat comfortably,Very comfortable,Not so comfortable,Very comfortable,Somewhat comfortably,Somewhat comfortably,30 - 44,Male,"$0 to $9,999",New England
372,Roman Catholic,No,Weekly or more,Every day,Never,Once a month or less,A few times per month,A few times per month,Once a year or less,Never,Once a month or less,Once a month or less,Once a year or less,Somewhat comfortably,I don't do this,Somewhat comfortably,Very comfortable,Not so comfortable,I don't do this,I don't do this,Very comfortable,Extremely comfortable,Somewhat comfortably,Somewhat comfortably,Not so comfortable,Not so comfortable,Somewhat comfortably,Not so comfortable,Not so comfortable,Not so comfortable,Very comfortable,Very comfortable,Not so comfortable,Very comfortable,Very comfortable,Very comfortable,Extremely comfortable,Very comfortable,Somewhat comfortably,Very comfortable,Very comfortable,Very comfortable,Very comfortable,30 - 44,Female,"$125,000 to $149,999",East North Central
